user_id,Age,Gender,Location,cohort_year,First_tran_date,total_txn,total_amount,revenue,active_months,carrier_mode,AOV
18416819,unknown,FEMALE,HCMC,2018,2018-05-02,1,20000.0,800.0,1,Vietnamobile,20000.0
54997002,unknown,FEMALE,HCMC,2020,2020-06-18,1,20000.0,400.0,1,Viettel,20000.0
39500485,23_to_27,MALE,Other Cities,2020,2020-02-09,1,20000.0,600.0,1,Mobifone,20000.0
53735132,23_to_27,FEMALE,Other Cities,2020,2020-02-26,1,10000.0,200.0,1,Viettel,10000.0
35713261,unknown,FEMALE,Other Cities,2018,2018-08-31,1,50000.0,1000.0,1,Viettel,50000.0
43271394,18_to_22,FEMALE,Other Cities,2018,2018-09-11,1,10000.0,400.0,1,Vinaphone,10000.0
51494928,18_to_22,FEMALE,Other Cities,2020,2020-06-12,1,10000.0,300.0,1,Mobifone,10000.0
25020793,>37,FEMALE,HCMC,2020,2020-04-16,1,20000.0,600.0,1,Mobifone,20000.0
51154043,>37,MALE,Other Cities,2019,2019-11-27,1,10000.0,400.0,1,Vinaphone,10000.0
50283994,>37,MALE,Other Cities,2019,2019-11-12,1,50000.0,2000.0,1,Vinaphone,50000.0
25038988,33_to_37,MALE,HCMC,2020,2020-04-24,1,10000.0,300.0,1,Mobifone,10000.0
33467239,33_to_37,FEMALE,Other Cities,2017,2017-09-18,1,20000.0,800.0,1,Vietnamobile,20000.0
55293364,23_to_27,MALE,Other Cities,2020,2020-04-19,1,30000.0,900.0,1,Mobifone,30000.0
46471632,33_to_37,FEMALE,Other Cities,2020,2020-05-06,1,100000.0,2000.0,1,Viettel,100000.0
726168,33_to_37,MALE,HCMC,2016,2016-05-20,1,20000.0,800.0,1,Vietnamobile,20000.0
50608480,33_to_37,MALE,Other Cities,2019,2019-11-12,1,50000.0,2000.0,1,Vietnamobile,50000.0
46173557,33_to_37,MALE,HCMC,2019,2019-12-19,1,20000.0,800.0,1,Vietnamobile,20000.0
49704707,23_to_27,FEMALE,Other Cities,2019,2019-11-18,1,50000.0,1500.0,1,Mobifone,50000.0
56445015,18_to_22,FEMALE,Other Cities,2020,2020-06-10,1,20000.0,400.0,1,Viettel,20000.0
48522543,18_to_22,MALE,Other Cities,2019,2019-08-09,1,10000.0,300.0,1,Mobifone,10000.0
45874257,23_to_27,MALE,Other Cities,2019,2019-12-03,1,10000.0,300.0,1,Mobifone,10000.0
39449364,23_to_27,FEMALE,Other Cities,2018,2018-10-08,1,20000.0,800.0,1,Vinaphone,20000.0
50705989,23_to_27,MALE,Other Cities,2019,2019-11-11,1,100000.0,3000.0,1,Mobifone,100000.0
8290393,28_to_32,MALE,Other Cities,2016,2016-10-06,1,20000.0,400.0,1,Viettel,20000.0
20927279,28_to_32,FEMALE,Other Cities,2020,2020-06-22,1,20000.0,400.0,1,Viettel,20000.0
43674426,28_to_32,MALE,Other Cities,2019,2019-05-13,1,30000.0,600.0,1,Viettel,30000.0
39953384,18_to_22,MALE,HCMC,2019,2019-08-28,1,10000.0,400.0,1,Vietnamobile,10000.0
31123315,23_to_27,MALE,HCMC,2017,2017-12-11,1,20000.0,400.0,1,Viettel,20000.0
40953839,23_to_27,MALE,HCMC,2018,2018-09-14,1,20000.0,400.0,1,Viettel,20000.0
43033870,28_to_32,FEMALE,HCMC,2018,2018-08-30,1,100000.0,4000.0,1,Vinaphone,100000.0
43772795,28_to_32,MALE,HN,2019,2019-08-28,1,50000.0,1000.0,1,Viettel,50000.0
44804066,28_to_32,FEMALE,HCMC,2019,2019-02-25,3,210000.0,7400.0,2,Vinaphone,70000.0
38541769,28_to_32,FEMALE,HCMC,2018,2018-12-16,1,20000.0,600.0,1,Mobifone,20000.0
40377159,28_to_32,MALE,HCMC,2017,2017-11-29,1,20000.0,600.0,1,Mobifone,20000.0
49879665,unknown,FEMALE,Other Cities,2019,2019-10-11,1,20000.0,800.0,1,Vinaphone,20000.0
56641125,unknown,MALE,Other Cities,2020,2020-06-22,1,20000.0,400.0,1,Viettel,20000.0
44229162,unknown,FEMALE,Other Cities,2018,2018-11-26,1,30000.0,600.0,1,Viettel,30000.0
19590755,unknown,MALE,Other Cities,2020,2020-01-10,1,50000.0,1000.0,1,Viettel,50000.0
44579652,>37,MALE,HN,2019,2019-05-20,1,30000.0,1200.0,1,Vinaphone,30000.0
13331164,>37,FEMALE,HCMC,2020,2020-02-14,1,50000.0,1000.0,1,Viettel,50000.0
50614214,>37,FEMALE,HCMC,2019,2019-12-29,1,200000.0,4000.0,1,Viettel,200000.0
35529436,23_to_27,FEMALE,HCMC,2016,2016-09-12,1,20000.0,600.0,1,Mobifone,20000.0
36165052,33_to_37,MALE,Other Cities,2020,2020-04-22,1,10000.0,200.0,1,Viettel,10000.0
48387169,33_to_37,FEMALE,Other Cities,2019,2019-08-03,1,20000.0,400.0,1,Viettel,20000.0
56012145,33_to_37,MALE,Other Cities,2020,2020-05-18,1,10000.0,200.0,1,Viettel,10000.0
39806755,33_to_37,FEMALE,HCMC,2019,2019-09-25,1,10000.0,200.0,1,Viettel,10000.0
50801184,33_to_37,MALE,HCMC,2020,2020-06-18,1,30000.0,900.0,1,Mobifone,30000.0
34530728,33_to_37,MALE,HN,2020,2020-03-26,1,20000.0,800.0,1,Vinaphone,20000.0
40817585,28_to_32,FEMALE,Other Cities,2019,2019-04-27,1,50000.0,1500.0,1,Mobifone,50000.0
41153302,18_to_22,MALE,Other Cities,2018,2018-07-27,1,100000.0,2000.0,1,Viettel,100000.0
49867887,18_to_22,FEMALE,Other Cities,2019,2019-12-19,1,20000.0,800.0,1,Vinaphone,20000.0
44591160,18_to_22,MALE,Other Cities,2019,2019-11-22,1,50000.0,1500.0,1,Mobifone,50000.0
55307181,23_to_27,FEMALE,Other Cities,2020,2020-04-25,1,50000.0,2000.0,1,Vietnamobile,50000.0
41308044,28_to_32,FEMALE,Other Cities,2018,2018-07-25,1,20000.0,800.0,1,Vinaphone,20000.0
55963499,28_to_32,FEMALE,Other Cities,2020,2020-05-15,1,50000.0,1000.0,1,Viettel,50000.0
7806865,28_to_32,FEMALE,Other Cities,2017,2017-03-01,1,10000.0,200.0,1,Viettel,10000.0
22057209,28_to_32,MALE,Other Cities,2020,2020-04-18,2,30000.0,600.0,2,Viettel,15000.0
56295254,18_to_22,FEMALE,HCMC,2020,2020-06-07,1,10000.0,300.0,1,Mobifone,10000.0
8964401,23_to_27,FEMALE,HCMC,2020,2020-01-31,1,20000.0,800.0,1,Vinaphone,20000.0
31733880,23_to_27,FEMALE,HCMC,2018,2018-05-25,1,10000.0,300.0,1,Mobifone,10000.0
49479313,23_to_27,MALE,HCMC,2020,2020-03-21,1,100000.0,4000.0,1,Vinaphone,100000.0
23623870,28_to_32,MALE,HCMC,2019,2019-07-20,1,50000.0,1000.0,1,Viettel,50000.0
40443502,28_to_32,MALE,HCMC,2018,2018-10-12,1,20000.0,600.0,1,Mobifone,20000.0
47706880,unknown,FEMALE,HN,2019,2019-06-25,1,20000.0,400.0,1,Viettel,20000.0
14433180,unknown,MALE,HN,2020,2020-06-10,1,100000.0,3000.0,1,Mobifone,100000.0
21762211,unknown,MALE,Other Cities,2019,2019-09-11,1,200000.0,8000.0,1,Vinaphone,200000.0
36990179,23_to_27,MALE,HCMC,2018,2018-09-26,1,100000.0,3000.0,1,Mobifone,100000.0
41968875,28_to_32,FEMALE,Other Cities,2018,2018-06-23,1,50000.0,1000.0,1,Viettel,50000.0
4163731,>37,MALE,HCMC,2019,2019-05-18,1,10000.0,300.0,1,Mobifone,10000.0
56126666,>37,FEMALE,Other Cities,2020,2020-06-07,1,50000.0,1500.0,1,Mobifone,50000.0
39702734,>37,FEMALE,Other Cities,2018,2018-09-25,1,50000.0,1500.0,1,Mobifone,50000.0
19947403,>37,FEMALE,Other Cities,2020,2020-04-17,1,500000.0,15000.0,1,Mobifone,500000.0
47207227,23_to_27,FEMALE,Other Cities,2019,2019-05-20,1,30000.0,900.0,1,Mobifone,30000.0
34437517,33_to_37,MALE,HCMC,2019,2019-03-12,1,100000.0,3000.0,1,Mobifone,100000.0
42117207,18_to_22,MALE,Other Cities,2018,2018-07-27,1,10000.0,400.0,1,Vinaphone,10000.0
52036946,23_to_27,MALE,Other Cities,2020,2020-03-19,1,20000.0,800.0,1,Vinaphone,20000.0
42774656,23_to_27,MALE,Other Cities,2019,2019-11-13,1,50000.0,1500.0,1,Mobifone,50000.0
39172646,28_to_32,MALE,Other Cities,2020,2020-03-31,1,100000.0,2000.0,1,Viettel,100000.0
39083172,28_to_32,MALE,Other Cities,2017,2017-06-01,1,50000.0,1500.0,1,Mobifone,50000.0
48625453,23_to_27,FEMALE,HCMC,2019,2019-08-11,1,50000.0,1000.0,1,Viettel,50000.0
55288735,23_to_27,MALE,HN,2020,2020-04-26,1,20000.0,400.0,1,Viettel,20000.0
40978454,28_to_32,MALE,HN,2018,2018-07-31,1,20000.0,400.0,1,Viettel,20000.0
41222230,28_to_32,MALE,HCMC,2018,2018-12-05,1,100000.0,3000.0,1,Mobifone,100000.0
31540644,28_to_32,FEMALE,HN,2018,2018-03-30,1,50000.0,1000.0,1,Viettel,50000.0
